"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SKBIANCHE"
"EMILIA-ROMAGNA";"FORLI'-CESENA";"2";"Obiezione di coscienza";305135;146654;"85139";"43273";"57726";20815;"4357"
"EMILIA-ROMAGNA";"FORLI'-CESENA";"6";"Incarichi extragiudiziari dei magistrati";305135;146654;"84794";"43104";"66878";9585;"5710"
"EMILIA-ROMAGNA";"FORLI'-CESENA";"5";"Ordine dei giornalisti";305135;146654;"84312";"42835";"48324";25823;"7214"
"EMILIA-ROMAGNA";"FORLI'-CESENA";"3";"Caccia";305135;146654;"84650";"42934";"63659";15044;"3834"
"EMILIA-ROMAGNA";"FORLI'-CESENA";"7";"Ministero per le politiche agricole";305135;146654;"84309";"42800";"50072";25151;"6335"
"EMILIA-ROMAGNA";"FORLI'-CESENA";"1";"Privatizzazione";305135;146654;"84592";"42984";"56319";18961;"6421"
"EMILIA-ROMAGNA";"FORLI'-CESENA";"4";"Carriere dei magistrati";305135;146654;"84690";"43055";"65064";10583;"6201"
"LAZIO";"FROSINONE";"4";"Carriere dei magistrati";439356;214634;"122692";"64355";"79556";20151;"16903"
"LAZIO";"FROSINONE";"3";"Caccia";439356;214634;"122622";"64283";"82162";23462;"12024"
"LAZIO";"FROSINONE";"1";"Privatizzazione";439356;214634;"122369";"64166";"70773";28526;"16275"
"LAZIO";"FROSINONE";"6";"Incarichi extragiudiziari dei magistrati";439356;214634;"122717";"64359";"82263";18238;"16193"
